pc_time_s,seq_id,module_id,status,tx_drops,PF3 V,PF4 V,PF5 V,PF6 V,LT Load,LH Load,RT Load,RH Load,L Gait,R Gait,L Torque,R Torque,Cal Ready,Control Req,Assist On,H10 Assist
61.351739,9560,0xF0,0x00,0,1.19900000,2.46300006,0.42100003,0.05200000,1.50000000,1.05456543,0.74131346,0.01126438,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.372732,9561,0xF0,0x00,0,1.19700003,2.46000004,0.42000002,0.05500000,1.50000000,1.05471146,0.74050248,0.01583174,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.372732,9562,0xF0,0x00,0,1.19900000,2.46400023,0.42000002,0.05400000,1.50000000,1.05506217,0.74002337,0.01503654,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.394683,9563,0xF0,0x00,0,1.19700003,2.45800018,0.41700003,0.05000000,1.50000000,1.05516136,0.73917854,0.00145435,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.394683,9564,0xF0,0x00,0,1.19600010,2.45800018,0.41800001,0.05000000,1.50000000,1.05543470,0.73852986,0.00490762,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.416286,9565,0xF0,0x00,0,1.20000005,2.46400023,0.42000002,0.05100000,1.50000000,1.05551839,0.73796594,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.416286,9566,0xF0,0x00,0,1.19800007,2.46000004,0.41800001,0.05100000,1.50000000,1.05569279,0.73775095,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.438883,9567,0xF0,0x00,0,1.19800007,2.46400023,0.42000002,0.05000000,1.50000000,1.05568421,0.73796016,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.438883,9568,0xF0,0x00,0,1.19800007,2.46300006,0.42100003,0.05300000,1.50000000,1.05542493,0.73725891,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.459279,9569,0xF0,0x00,0,1.19500005,2.46100020,0.41800001,0.04900000,1.50000000,1.05533767,0.73720187,0.00688821,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.459279,9570,0xF0,0x00,0,1.19700003,2.45900011,0.42000002,0.05300000,1.50000000,1.05512929,0.73713523,0.01186706,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.459279,9571,0xF0,0x00,0,1.19800007,2.46100020,0.41700003,0.04700000,1.50000000,1.05522764,0.73600668,0.00678979,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.479642,9572,0xF0,0x00,0,1.19700003,2.46400023,0.42000002,0.05200000,1.50000000,1.05542481,0.73629153,0.01913384,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.479642,9573,0xF0,0x00,0,1.19600010,2.46100020,0.41900003,0.05100000,1.50000000,1.05552292,0.73622912,0.01106955,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.499931,9574,0xF0,0x00,0,1.19500005,2.46100020,0.41800001,0.04900000,1.50000000,1.05544877,0.73612285,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.499931,9575,0xF0,0x00,0,1.19800007,2.46400023,0.41700003,0.05100000,1.50000000,1.05536044,0.73570734,0.00019953,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.520293,9576,0xF0,0x00,0,1.19800007,2.46600008,0.42000002,0.04800000,1.50000000,1.05545163,0.73613846,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.520293,9577,0xF0,0x00,0,1.19900000,2.46100020,0.42100003,0.05000000,1.50000000,1.05566108,0.73699480,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.540759,9578,0xF0,0x00,0,1.19700003,2.46100020,0.42100003,0.05300000,1.50000000,1.05559897,0.73580247,0.00296444,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.540759,9579,0xF0,0x00,0,1.19800007,2.46100020,0.42200002,0.05000000,1.50000000,1.05522132,0.73746252,0.01257330,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.561385,9580,0xF0,0x00,0,1.19800007,2.46100020,0.42200002,0.05300000,1.50000000,1.05527079,0.73899913,0.01479700,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.561385,9581,0xF0,0x00,0,1.19700003,2.46300006,0.42200002,0.05200000,1.50000000,1.05492210,0.73998702,0.01166470,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.582238,9582,0xF0,0x00,0,1.19800007,2.46300006,0.42400002,0.04700000,1.50000000,1.05512321,0.74203241,0.01178473,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.582238,9583,0xF0,0x00,0,1.20000005,2.46700001,0.42300001,0.05000000,1.50000000,1.05550349,0.74295664,0.01292825,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.603013,9584,0xF0,0x00,0,1.19900000,2.46000004,0.42500001,0.04700000,1.50000000,1.05539048,0.74531668,0.00294916,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.603013,9585,0xF0,0x00,0,1.20000005,2.46200013,0.42500001,0.05100000,1.50000000,1.05547357,0.74771589,0.00427447,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.624179,9586,0xF0,0x00,0,1.19600010,2.46200013,0.42600003,0.05100000,1.50000000,1.05566621,0.74867904,0.00059694,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.624179,9587,0xF0,0x00,0,1.20000005,2.46500015,0.42500001,0.05000000,1.50000000,1.05583680,0.74902201,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.645683,9588,0xF0,0x00,0,1.20000005,2.46200013,0.42500001,0.04900000,1.50000000,1.05559480,0.74933553,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.645683,9589,0xF0,0x00,0,1.19900000,2.46700001,0.42400002,0.05500000,1.50000000,1.05545068,0.74916941,0.00307404,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.666765,9590,0xF0,0x00,0,1.19900000,2.46100020,0.42400002,0.05200000,1.50000000,1.05541348,0.74945897,0.01569577,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.666765,9591,0xF0,0x00,0,1.19800007,2.46100020,0.42400002,0.05500000,1.50000000,1.05550480,0.74943757,0.02092190,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.689200,9592,0xF0,0x00,0,1.19900000,2.45700002,0.42400002,0.05100000,1.50000000,1.05542576,0.74948323,0.01830265,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
