pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
20.393632,6829,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,-0.02014160
20.414394,6830,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01831055,-0.00732422
20.414394,6831,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,0.02197266
20.435614,6832,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,-0.00732422
20.435614,6833,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00915527,-0.01647949
20.457273,6834,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00732422,-0.01831055
20.457273,6835,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00915527,-0.01647949
20.479269,6836,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,0.00000000
20.479269,6837,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,-0.00915527
20.500212,6838,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,-0.02563477
20.500212,6839,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.01831055
20.500212,6840,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01831055,0.02563477
20.520684,6841,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.01464844
20.520684,6842,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00183105,0.00915527
20.541036,6843,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00183105,-0.00915527
20.541036,6844,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,0.00000000
20.561489,6845,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00183105,-0.00366211
20.561489,6846,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01464844,0.01281738
20.582406,6847,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,0.01281738
20.582406,6848,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,-0.00915527
20.603186,6849,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,0.00366211
20.603186,6850,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,0.00366211
20.626016,6851,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01831055,0.01464844
20.626016,6852,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01647949,0.00183105
20.648571,6853,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01281738,0.00183105
20.648571,6854,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00915527,0.00549316
20.674098,6855,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00366211,0.01098633
20.674098,6856,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00183105,0.00732422
20.695356,6857,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.01647949
20.695356,6858,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01647949,-0.01281738
20.695356,6859,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01464844,-0.01647949
20.717454,6860,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00183105,0.00915527
20.717454,6861,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01647949,0.00915527
20.739723,6862,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.00915527
20.739723,6863,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,0.00549316
20.760146,6864,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.00732422
20.760146,6865,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01098633,0.01098633
20.760146,6866,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00915527,-0.00183105
20.780375,6867,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00183105,0.01281738
20.780375,6868,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00915527,0.00183105
20.800944,6869,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00366211,-0.01647949
20.800944,6870,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00915527,0.01464844
20.821343,6871,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01098633,-0.01647949
20.821343,6872,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00732422,-0.00915527
20.841670,6873,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,0.00732422
20.841670,6874,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01647949,0.00549316
