pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
46.576980,9782,0xF0,0x00,0,1.41200006,2.46800017,0.34600002,0.05500000,1.10955238,0.99885809,0.30514109,0.00000000,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.576980,9783,0xF0,0x00,0,1.40800011,2.46600008,0.34500003,0.05300000,1.10738552,0.99876952,0.30654019,0.00000000,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.597329,9784,0xF0,0x00,0,1.39500010,2.46800017,0.34900001,0.04900000,1.10331249,0.99832964,0.30887863,0.00000000,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.597329,9785,0xF0,0x00,0,1.39100003,2.46500015,0.36100003,0.05100000,1.09766734,0.99795765,0.31336635,0.00000000,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.617748,9786,0xF0,0x00,0,1.38600004,2.46300006,0.37100002,0.05800000,1.09263623,0.99763185,0.32173461,0.00305340,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.617748,9787,0xF0,0x00,0,1.38000011,2.46000004,0.37900001,0.05600000,1.08807278,0.99765736,0.33334243,0.00452742,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.638302,9788,0xF0,0x00,0,1.36900008,2.46100020,0.39300001,0.05400000,1.08275485,0.99727100,0.34658507,0.01051597,1.00000000,3.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.638302,9789,0xF0,0x00,0,1.35600007,2.46200013,0.41100001,0.05300000,1.07519841,0.99724442,0.36312342,0.01070954,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.658985,9790,0xF0,0x00,0,1.33400011,2.46400023,0.42300001,0.05500000,1.06465375,0.99709928,0.37931523,0.01193173,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.658985,9791,0xF0,0x00,0,1.30200005,2.46400023,0.42800003,0.05200000,1.04850805,0.99709576,0.39385456,0.00423543,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.679844,9792,0xF0,0x00,0,1.28900003,2.46000004,0.44000003,0.05100000,1.03258955,0.99656272,0.40811506,0.01085445,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.679844,9793,0xF0,0x00,0,1.28600001,2.46100020,0.44900003,0.05100000,1.02001274,0.99648452,0.42173803,0.00330284,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.700836,9794,0xF0,0x00,0,1.27500010,2.46400023,0.45800003,0.05500000,1.01012194,0.99638170,0.43307972,0.00561304,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.700836,9795,0xF0,0x00,0,1.24800003,2.46100020,0.45800003,0.05400000,0.99721575,0.99628538,0.44355252,0.00297792,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.721336,9796,0xF0,0x00,0,1.22500002,2.45800018,0.47200003,0.05200000,0.97969455,0.99593902,0.45402181,0.00407778,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.721336,9797,0xF0,0x00,0,1.21600008,2.45600009,0.48700002,0.04900000,0.96641505,0.99599302,0.46820158,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.742809,9798,0xF0,0x00,0,1.20900011,2.46400023,0.49500003,0.05200000,0.95537090,0.99581140,0.48301587,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.742809,9799,0xF0,0x00,0,1.19000006,2.46000004,0.50300002,0.05200000,0.94511110,0.99592030,0.49706623,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.763467,9800,0xF0,0x00,0,1.17200005,2.45800018,0.51500005,0.05200000,0.93291754,0.99562496,0.50930947,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.763467,9801,0xF0,0x00,0,1.16800010,2.46100020,0.52800000,0.04900000,0.92171943,0.99584538,0.52345347,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.785349,9802,0xF0,0x00,0,1.15800011,2.45800018,0.54000002,0.05300000,0.91187048,0.99563098,0.53931999,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.785349,9803,0xF0,0x00,0,1.14300001,2.46600008,0.55500001,0.04900000,0.90278822,0.99587870,0.55644250,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.806562,9804,0xF0,0x00,0,1.14300001,2.45800018,0.56500000,0.05000000,0.89527136,0.99573565,0.57336986,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.806562,9805,0xF0,0x00,0,1.14000010,2.46200013,0.57400000,0.05100000,0.88942403,0.99589455,0.58862877,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.806562,9806,0xF0,0x00,0,1.13600004,2.46200013,0.58000004,0.05600000,0.88475859,0.99599874,0.60220098,0.00030659,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.826927,9807,0xF0,0x00,0,1.13400006,2.46600008,0.59800005,0.05000000,0.88066256,0.99629289,0.61693525,0.00347383,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.826927,9808,0xF0,0x00,0,1.15200007,2.46400023,0.60700005,0.05200000,0.88033336,0.99620152,0.63209701,0.01300432,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
