time_s,pc_time_s,seq_id,module_id,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
1.214000,11.847114,10092,240,0,1.068529,1.004005,0.050369,0.049838,0.564297,0.050883,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.215000,11.878793,10093,240,0,1.102583,1.003958,0.050881,0.050000,0.564464,0.050480,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.216000,11.878860,10094,240,0,1.129885,1.003836,0.050923,0.050419,0.564819,0.050385,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.217000,11.878881,10095,240,0,1.169970,1.003598,0.050242,0.050336,0.564855,0.050769,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.218000,11.878898,10096,240,0,1.204077,1.003420,0.050379,0.050129,0.564192,0.050564,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.219000,11.910300,10097,240,0,1.215238,1.003406,0.050557,0.050241,0.564144,0.050432,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.220000,11.910399,10098,240,0,1.208749,1.003485,0.050820,0.050506,0.564438,0.050399,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.221000,11.910434,10099,240,0,1.196225,1.003585,0.050997,0.050716,0.564756,0.050184,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.222000,11.941980,10100,240,0,1.196106,1.003715,0.050497,0.050792,0.564554,0.049841,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.223000,11.942088,10101,240,0,1.200361,1.003859,0.050301,0.050459,0.564418,0.049883,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.224000,11.942127,10102,240,0,1.211108,1.004083,0.051037,0.050510,0.564131,0.049856,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.225000,11.973949,10103,240,0,1.204783,1.004247,0.050518,0.050667,0.564123,0.049683,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.226000,11.974064,10104,240,0,1.187240,1.004346,0.050474,0.050630,0.564345,0.050029,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.227000,11.974099,10105,240,0,1.168673,1.004380,0.050333,0.050204,0.564339,0.049953,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.228000,12.005754,10106,240,0,1.148848,1.004367,0.050359,0.050644,0.564108,0.050103,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.229000,12.005960,10107,240,0,1.116265,1.004407,0.050558,0.050983,0.563911,0.050320,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.230000,12.006003,10108,240,0,1.080125,1.004499,0.050671,0.050698,0.563964,0.050155,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.231000,12.038412,10109,240,0,1.084737,1.004664,0.050794,0.050630,0.563927,0.049987,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.232000,12.038581,10110,240,0,1.130592,1.004811,0.050513,0.050432,0.563943,0.049986,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
